# Last workflow run on (ET): 2025-08-27 14:27:53
NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
77965,"DRAXIMAGE SODIUM IODIDE I131 SOLUTION, USP DIAGNOSTIC: may contain an incorrect product monograph.",https://recalls-rappels.canada.ca/en/alert-recall/draximage-sodium-iodide-i131-solution-usp-diagnostic-may-contain-incorrect-product,"Drugs and health products","DRAXIMAGE SODIUM IODIDE I131 SOLUTION, USP DIAGNOSTIC","Product safety","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type III",2025-08-22,0
77966,"Ultra Albumin Gold: The addition of the medicinal ingredient albumin is not compliant with its market authorization. ",https://recalls-rappels.canada.ca/en/alert-recall/ultra-albumin-gold-addition-medicinal-ingredient-albumin-not-compliant-its-market,"Drugs and health products","Ultra Albumin Gold","Product safety","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.","Natural health products","Type III",2025-08-22,0
77967,"Super Probiotics: Affected lot contains undeclared probiotic strains, zinc and selenium that may pose a risk to health. ",https://recalls-rappels.canada.ca/en/alert-recall/super-probiotics-affected-lot-contains-undeclared-probiotic-strains-zinc-and-selenium,"Drugs and health products","Super Probiotics","Product safety","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.","Natural health products","Type III",2025-08-22,0
77968,"Habibi brand Pistachio Kernel recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/habibi-brand-pistachio-kernel-recalled-due-salmonella-1,CFIA,"Pistachio Kernel",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Nuts, grains, and seeds","Class 2",2025-08-22,0
77970,"Transport Canada Recall - 2025424 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025424-fiat-chrysler-automobiles,TC,"Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES","Lights And Instruments",,"Truck - Med. & H.D. - Light Truck & Van",,2025-08-22,0
77971,"Transport Canada Recall - 2025426 - TRIUMPH",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025426-triumph,TC,"Motorcycle recalled by TRIUMPH",Engine,,Motorcycle,,2025-08-22,0
77972,"Transport Canada Recall - 2025427 - ASTON MARTIN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025427-aston-martin,TC,"Car recalled by ASTON MARTIN",Brakes,,Car,,2025-08-22,0
73980,"Unauthorized nicotine pouches may pose serious health risks",https://recalls-rappels.canada.ca/en/alert-recall/unauthorized-nicotine-pouches-may-pose-serious-health-risks,"Communications and Public Affairs Branch","Nicotine pouches (placed in the mouth between the gum and cheek), also known as tobacco-less or tobacco-free nicotine pouches, nicotine buccal pouches and oral nicotine pouches.","Unauthorized product","Do not use unauthorized nicotine pouches.Read product labels to verify that health products have been authorized for sale by Health Canada. Authorized health products have an eight-digit Drug Identification Number (DIN) or, Natural Product Number (NPN). You can also check if products have been authorized for sale by searching Health Canada's&nbsp;Drug Product Database&nbsp;and&nbsp;Licensed Natural Health Product Database.If you become aware of any unusual symptoms or side effects that may be associated with these products, contact your healthcare provider.Report any health product&nbsp;adverse events&nbsp;or&nbsp;complaints&nbsp;to Health Canada.",Drugs,,2025-08-21,0
75271,"Only use authorized nicotine pouches as directed,  and do not use unauthorized nicotine pouches",https://recalls-rappels.canada.ca/en/alert-recall/only-use-authorized-nicotine-pouches-directed-and-do-not-use-unauthorized-nicotine,"Communications and Public Affairs Branch","Nicotine pouches (placed in the mouth between the gum and cheek), also known as tobacco-less or tobacco-free nicotine pouches, nicotine buccal pouches and oral nicotine pouches.","Product safety",,"Natural health products",,2025-08-21,0
77600,"Transport Canada Recall - 2025299 - TEXTRON SPECIALIZED VEHICLES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025299-textron-specialized-vehicles,TC,"Restricted-Use Vehicle recalled by TEXTRON SPECIALIZED VEHICLES","Fuel System",,"Restricted-Use Vehicle",,2025-08-21,0
77820,"Andalos brand pastry products recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/andalos-brand-pastry-products-recalled-due-salmonella,CFIA,"Pastry products",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 2",2025-08-21,0
77891,"Kiwi Electronic Recliner and Swivel Gliders with USB Port recalled due to burn hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/kiwi-electronic-recliner-and-swivel-gliders-usb-port-recalled-due-burn-hazard,"Consumer product safety","Kiwi Electronic Recliner and Swivel Gliders with USB Port","Burn hazard","Consumers should immediately stop using the recalled recliners and contact Babyletto to receive a free repair kit. Consumers should register at babylettorecall.com to receive their free repair kit and installation instructions. Once consumers have completed the repair, consumers should dispose of the original USB module in accordance with municipal electronic waste requirements.For more information, consumers can contact Babyletto by their toll-free number at 866-621-9483, from 11 a.m. to 3 p.m. PT, Monday through Friday, by email at kiwi.recall@babyletto.com, or visit the company website www.babylettorecall.com or www.babyletto.com and click “Product Recalls” at the bottom of the page.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Appliances,,2025-08-21,0
77929,"Various Inkari Plush Alpaca Toys recalled due to choking hazard",https://recalls-rappels.canada.ca/en/alert-recall/various-inkari-plush-alpaca-toys-recalled-due-choking-hazard,"Consumer product safety","Various Inkari Plush Alpaca Toys","Choking hazard","Consumers should immediately stop using the recalled product, destroy the product and contact the company with proof of destruction for a refund.For more information, consumers can contact Inkari B.V. by email at support@inkari-alpaca.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Toys and games",,2025-08-21,0
77930,"SOLSTICE S85 and JACUZZI JA85/JAP85 pool heat pumps recalled due to fire hazard ",https://recalls-rappels.canada.ca/en/alert-recall/solstice-s85-and-jacuzzi-ja85jap85-pool-heat-pumps-recalled-due-fire-hazard,"Consumer product safety","SOLSTICE S85 and JACUZZI JA85/JAP85 pool heat pumps","Fire hazard","Consumers should register their affected heat pump through the following website: https://avisqualite.ca/en/&nbsp;to arrange for installation of a replacement part.&nbsp; Pending repair, consumers should maintain the water in their pool to a temperature that is below 90°F (32°C).For more information, consumers can visit https://avisqualite.ca/en/.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2025-08-21,0
77932,"Important Safety Information on COPAXONE (glatiramer acetate) and the Risk of Anaphylactic Reactions Which May Occur at Any Time Following Initiation of Treatment ",https://recalls-rappels.canada.ca/en/alert-recall/important-safety-information-copaxone-glatiramer-acetate-and-risk-anaphylactic,"Marketed health products","COPAXONE (glatiramer acetate) ","New safety information - Product safety - Adverse reaction",,Drugs,,2025-08-21,0
77933,"Daesang brand Gochujang recalled due to undeclared wheat",https://recalls-rappels.canada.ca/en/alert-recall/daesang-brand-gochujang-recalled-due-undeclared-wheat,CFIA,Gochujang,Wheat,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionIf you have celiac disease or other gluten-related disorders, do not consume the recalled product&nbsp;as it&nbsp;may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,"Class 2",2025-08-21,0
77939,"Risk of anaphylactic reaction associated with glatiramer acetate, used to treat multiple sclerosis",https://recalls-rappels.canada.ca/en/alert-recall/risk-anaphylactic-reaction-associated-glatiramer-acetate-used-treat-multiple-sclerosis,"Communications and Public Affairs Branch","Glatiramer acetate","Product safety - New safety information","If you experience anaphylactic reaction symptoms, stop taking glatiramer acetate and seek immediate medical help by calling 9-1-1.Do not restart taking glatiramer acetate if you have experienced anaphylaxis unless your healthcare provider has identified another clear cause for the anaphylaxis.Report any health product-related&nbsp;side effects&nbsp;to Health Canada.What healthcare professionals should doInform patients and/or caregivers of the signs and symptoms of anaphylactic reactions, which may overlap with those of an immediate post-injection reaction.Instruct patients to seek immediate emergency medical care in the event of an anaphylactic reaction.Instruct patients to discontinue treatment with glatiramer acetate if they have an anaphylactic reaction.Do not restart the medicine unless there is another clear reason the patient experienced an anaphylactic reaction.",Drugs,,2025-08-21,0
77940,"CX Series Combi Boilers recalled due to burn hazard ",https://recalls-rappels.canada.ca/en/alert-recall/cx-series-combi-boilers-recalled-due-burn-hazard,"Consumer product safety","CX Series Combi Boilers","Burn hazard","Consumers should immediately stop using the recalled boilers for water heating and contact IBC Technologies Inc., to schedule a free in-home repair by an authorized technician who will install a mixing valve if needed. For more information, consumers can contact IBC Technologies Inc., by telephone at 1-844-432-8422, from 8 a.m. to 4:30 p.m. PST, Monday through Friday, by email or visit the company website. Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and IBC Technologies Inc.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Appliances,,2025-08-21,0
77947,"NIIX Wish Refillable Vaping Pods recalled due to lack of child resistant packaging ",https://recalls-rappels.canada.ca/en/alert-recall/niix-wish-refillable-vaping-pods-recalled-due-lack-child-resistant-packaging,"Consumer product safety","NIIX WISH POD","Labelling and packaging","Consumers should immediately stop using the recalled products and dispose of them in normal household waste.For more information, consumers can contact Century Vapes by telephone at 416-873-8683, from 10 a.m. to 8 p.m. EST, by email at info@centuryvapes.com or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Vaping and tobacco products",,2025-08-21,0
77958,"Dermalight IPL Plus",https://recalls-rappels.canada.ca/en/alert-recall/dermalight-ipl-plus,"Medical devices","Dermalight IPL Plus","Unauthorised device",,"General and plastic surgery","Type II",2025-08-21,0
77959,"Change Healthcare Radiology Solutions",https://recalls-rappels.canada.ca/en/alert-recall/change-healthcare-radiology-solutions,"Medical devices","Change Healthcare Radiology Solutions",Performance,,"General hospital and personal use","Type II",2025-08-21,0
77960,"ViziShot 2 Flex",https://recalls-rappels.canada.ca/en/alert-recall/vizishot-2-flex,"Medical devices","ViziShot 2 Flex","Labelling and packaging - Performance",,"General and plastic surgery","Type II",2025-08-21,0
77961,"AlignRT InBore",https://recalls-rappels.canada.ca/en/alert-recall/alignrt-inbore,"Medical devices","AlignRT InBore","Labelling and packaging",,Radiology,"Type II",2025-08-21,0
77962,"Super Germiphene & Oro Clense: missing lot and expiration date.",https://recalls-rappels.canada.ca/en/alert-recall/super-germiphene-oro-clense-missing-lot-and-expiration-date,"Drugs and health products","Super Germiphene & Oro Clense","Product safety","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type III",2025-08-21,0
77941,"Alcon Vitrectomy Products",https://recalls-rappels.canada.ca/en/alert-recall/alcon-vitrectomy-products,"Medical devices","Alcon Vitrectomy Products",Sterility,,Ophthalmology,"Type II",2025-08-20,0
77942,"Unicel DxH Series Instruments",https://recalls-rappels.canada.ca/en/alert-recall/unicel-dxh-series-instruments,"Medical devices","Unicel DxH Series Instruments",Performance,,"Chemistry - Haematology","Type II",2025-08-20,0
77943,"ARTIS Pheno",https://recalls-rappels.canada.ca/en/alert-recall/artis-pheno-0,"Medical devices","ARTIS Pheno",Performance,,Radiology,"Type II",2025-08-20,0
77944,"Sentiva® Generator",https://recalls-rappels.canada.ca/en/alert-recall/sentivar-generator,"Medical devices","Sentiva® Generator",Performance,,Neurology,"Type II",2025-08-20,0
77945,"Pistachio Kernels recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/pistachio-kernels-recalled-due-salmonella,CFIA,"Pistachio Kernels",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Nuts, grains, and seeds","Class 2",2025-08-20,0
77946,"Health Canada warns Canadians of safety risks linked to baby nests and loungers",https://recalls-rappels.canada.ca/en/alert-recall/health-canada-warns-canadians-safety-risks-linked-baby-nests-and-loungers,"Communications and Public Affairs Branch","A baby nest/lounger is a small, portable infant bed that has soft, padded sides. Many are advertised as multi-functional products that can be used as a sleep surface, changing mat and tummy time mat.","Product safety","If you have one of the products listed below, you should immediately stop using it.In addition, this is a reminder that:Baby nests/loungers are not safe for sleep as they may pose a suffocation risk.Babies should never be left unattended in baby nests/loungers, nor should the nests/loungers be placed inside another product, such as a crib, cradle, bassinet or playpen.Baby nests/loungers should never be placed on standard beds, water beds, air mattresses, couches, futons or armchairs. Placing a baby nest/lounger on these soft and uneven surfaces can further increase the suffocation risk.The safest place for a baby to sleep is on their back, alone in a crib, cradle or bassinet that meets current Canadian safety regulations.When buying a product for a baby to sleep in, it is important to keep the following in mind:A baby's sleep surface should be firm and flat.Products with soft surfaces and padding should be avoided, as they increase a baby's risk of suffocation.Products with restraints, handles, attached cords, strings or ribbons pose a strangulation risk.Large openings or gaps in baby's crib, cradle, bassinet or other sleep environment are unsafe and pose a risk of entrapment or fall.For more information on how to keep your baby safe when sleeping, please see the following resource: Safe Sleep for Your Baby (publication) - Canada.caIf an incident occurs with a baby nest/lounger, please report it to Health Canada.What Health Canada is doingHealth Canada is committed to helping protect people in Canada from potentially dangerous consumer products. The Department is currently examining the risks associated with baby nests/loungers through a sampling and evaluation program and continues to verify that baby nests/loungers on the Canadians market meet the Cribs, Cradles and Bassinet Regulations. The Department will also take enforcement actions if there is reason to believe a consumer product poses a danger to human health or safety.Stay connected with Health Canada and receive the latest advisories and product recalls using social media tools.",Other,,2025-08-20,0
77964,"Transport Canada Recall - 2025425 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025425-forest-river,TC,"Motorhome recalled by FOREST RIVER",Brakes,,Motorhome,,2025-08-20,0
77629,"Pinnacle³ Radiation Therapy Planning System",https://recalls-rappels.canada.ca/en/alert-recall/pinnacle3-radiation-therapy-planning-system,"Medical devices","Pinnacle³ Radiation Therapy Planning System",Performance,,Radiology,"Type II",2025-08-19,0
77869,"Transport Canada Recall - 2025389 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025389-forest-river,TC,"Motorhome recalled by FOREST RIVER","Fuel System",,Motorhome,,2025-08-19,0
77928,"Crown Royal Reserve brand Canadian Whisky recalled due to possible presence of glass",https://recalls-rappels.canada.ca/en/alert-recall/crown-royal-reserve-brand-canadian-whisky-recalled-due-possible-presence-glass,CFIA,"Canadian Whisky - Aged 12 Years ","Extraneous Material",,Alcoholic,"Class 2",2025-08-19,0
77931,"DxC 500i Clinical Analyzers",https://recalls-rappels.canada.ca/en/alert-recall/dxc-500i-clinical-analyzers,"Medical devices","DxC 500i Clinical Analyzers",Performance,,Chemistry,"Type II",2025-08-19,0
77934,"Gangrongtai brand Enoki Mushroom recalled due to Listeria monocytogenes",https://recalls-rappels.canada.ca/en/alert-recall/gangrongtai-brand-enoki-mushroom-recalled-due-listeria-monocytogenes,CFIA,"Enoki Mushroom",Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Listeria monocytogenes&nbsp;may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Fresh,"Class 2",2025-08-19,0
77938,"Lactantia brand Original Cream Cheese recalled due to off odour and off taste",https://recalls-rappels.canada.ca/en/alert-recall/lactantia-brand-original-cream-cheese-recalled-due-odour-and-taste,CFIA,"Original Cream Cheese","Non harmful (quality or spoilage)",,Dairy,"Class 3",2025-08-19,0
77948,"Transport Canada Recall - 2025408 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025408-international-motors,TC,"Bus recalled by INTERNATIONAL MOTORS",Brakes,,"Bus - Truck - Med. & H.D.",,2025-08-19,0
77949,"Transport Canada Recall - 2025409 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025409-international-motors,TC,"School Bus recalled by INTERNATIONAL MOTORS",Brakes,,"School Bus",,2025-08-19,0
77950,"Transport Canada Recall - 2025410 - SUZUKI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025410-suzuki,TC,"Motorcycle recalled by SUZUKI","Lights And Instruments",,Motorcycle,,2025-08-19,0
77951,"Transport Canada Recall - 2025412 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025412-ford,TC,"SUV recalled by FORD","Visual System",,SUV,,2025-08-19,0
77952,"Transport Canada Recall - 2025417 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025417-ford,TC,"Car recalled by FORD","Lights And Instruments",,"Car - SUV",,2025-08-19,0
77953,"Transport Canada Recall - 2025418 - VOLVO TRUCKS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025418-volvo-trucks,TC,"Truck - Med. & H.D. recalled by VOLVO TRUCKS",Steering,,"Truck - Med. & H.D.",,2025-08-19,0
77954,"Transport Canada Recall - 2025419 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025419-international-motors,TC,"School Bus recalled by INTERNATIONAL MOTORS",Brakes,,"School Bus",,2025-08-19,0
77955,"Transport Canada Recall - 2025420 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025420-international-motors,TC,"Bus recalled by INTERNATIONAL MOTORS",Brakes,,Bus,,2025-08-19,0
