NID,Title,URL,Organization,Product,Issue,What you should do,Category,Recall class,Last updated,Archived,Main issue,Secondary issue,Bacteria subtype
77638,Chaeban brand Mediterani Mascarpone Fresh Soft Cheese recalled due to generic E. coli ,https://recalls-rappels.canada.ca/en/alert-recall/chaeban-brand-mediterani-mascarpone-fresh-soft-cheese-recalled-due-generic-e-coli,CFIA,Mediterani Mascarpone Fresh Soft Cheese,E. Coli - non-pathogenic,,Dairy,Class 2,2025-06-12,0,E. Coli,,non-pathogenic
77571,Rea brand Genoa Salami and Bona brand Genova Salami recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/rea-brand-genoa-salami-and-bona-brand-genova-salami-recalled-due-salmonella,CFIA,"Genoa Salami Sweet, Genoa Salami Hot, Mild Genova Salami",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the affected product are advised to contact their retailerFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,Class 1,2025-06-10,0,Salmonella,,
77518,Bornibus brand Tehina recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/bornibus-brand-tehina-recalled-due-salmonella,CFIA,Tehina,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,Class 2,2025-06-05,0,Salmonella,,
77471,Al Kanater brand Tahini recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/al-kanater-brand-tahini-recalled-due-salmonella-1,CFIA,Tahini,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,Class 2,2025-05-18,0,Salmonella,,
77459,Poppies brand Mini Éclairs recalled due to generic E. coli,https://recalls-rappels.canada.ca/en/alert-recall/poppies-brand-mini-eclairs-recalled-due-generic-e-coli,CFIA,Mini Éclairs,E. Coli - non-pathogenic,,Other,Class 2,2025-05-13,0,E. Coli,,non-pathogenic
77445,Pumpkin seeds recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/pumpkin-seeds-recalled-due-salmonella,CFIA,Pumpkin seeds,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Nuts, grains, and seeds",Class 2,2025-05-12,0,Salmonella,,
77433,Organic pumpkin seeds recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/organic-pumpkin-seeds-recalled-due-salmonella,CFIA,Pumpkin seeds,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the recalled products are advised to contact their retailerFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Nuts, grains, and seeds",Class 2,2025-05-10,0,Salmonella,,
77448,Fruit Dôme brand Thyme recalled due to pathogenic E.coli,https://recalls-rappels.canada.ca/en/alert-recall/fruit-dome-brand-thyme-recalled-due-pathogenic-ecoli,CFIA,Thyme,E. Coli - other pathogenic,,Herbs and spices,Class 1,2025-05-10,0,E. Coli,,other pathogenic
77449,Organic Euro Pumpkin Seeds recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/organic-euro-pumpkin-seeds-recalled-due-salmonella,CFIA,Organic Euro Pumpkin Seeds,Salmonella,,"Nuts, grains, and seeds",Class 2,2025-05-09,0,Salmonella,,
77317,Schalk Mühle brand Organic Austrian Pumpkin Seeds recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/schalk-muhle-brand-organic-austrian-pumpkin-seeds-recalled-due-salmonella,CFIA,Organic Austrian Pumpkin Seeds,Salmonella,,"Nuts, grains, and seeds",Class 2,2025-05-07,0,Salmonella,,
77414,Organic Traditions brand Jumbo Pumpkin Seeds recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/organic-traditions-brand-jumbo-pumpkin-seeds-recalled-due-salmonella,CFIA,Jumbo Pumpkin seeds,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Nuts, grains, and seeds",Class 2,2025-05-07,0,Salmonella,,
77408,Captain's Choice brand Coconut Meat recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/captain-s-choice-brand-coconut-meat-recalled-due-salmonella,CFIA,Coconut Meat,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Frozen,Class 2,2025-05-06,0,Salmonella,,
77405,Hong Kong brand Shredded Coconut recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/hong-kong-brand-shredded-coconut-recalled-due-salmonella,CFIA,Shredded Coconut,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Frozen,Class 2,2025-05-05,0,Salmonella,,
77401,Al Kanater brand Tahini recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/al-kanater-brand-tahini-recalled-due-salmonella-0,CFIA,Tahini,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaHow we decide&nbsp;to recall a food product - inspection.canada.ca&nbsp;Report a food safety or labelling concern",Other,Class 2,2025-05-04,0,Salmonella,,
77301,Sweet Cream brand and D. Effe T. brand frozen pastries recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/sweet-cream-brand-and-effe-t-brand-frozen-pastries-recalled-due-salmonella,CFIA,Frozen pastries,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the recalled products are advised to contact their retailerFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,Class 2,2025-04-19,0,Salmonella,,
77299,Captain's Choice brand Shredded Coconut recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/captain-s-choice-brand-shredded-coconut-recalled-due-salmonella,CFIA,Shredded Coconut,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Frozen,Class 1,2025-04-17,0,Salmonella,,
77330,Umyum brand Plantbased Cashew Butter recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/umyum-brand-plantbased-cashew-butter-recalled-due-salmonella,CFIA,Plantbased Cashew Butter,Salmonella,,Other,Class 2,2025-04-16,0,Salmonella,,
77270,Cuisine Fraicheur Urbaine brand Black Forest Ham Sandwich recalled due to Listeria monocytogenes,https://recalls-rappels.canada.ca/en/alert-recall/cuisine-fraicheur-urbaine-brand-black-forest-ham-sandwich-recalled-due-listeria,CFIA,Black Forest Ham Sandwich,Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Listeria monocytogenes&nbsp;may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,Class 1,2025-04-12,0,Listeria,,
77227,Aladdin Foods brand Lean Ground Beef recalled due to E. coli O103,https://recalls-rappels.canada.ca/en/alert-recall/aladdin-foods-brand-lean-ground-beef-recalled-due-e-coli-o103,CFIA,Lean Ground Beef,E. Coli - other pathogenic,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with E. coli O103&nbsp;may not look or smell spoiled but can still make you sick. Symptoms can include nausea, vomiting, mild to severe abdominal cramps and watery to bloody diarrhea. In severe cases of illness, some people may have seizures or strokes, need blood transfusions and kidney dialysis or live with permanent kidney damage. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,Class 1,2025-04-03,0,E. Coli,,other pathogenic
77012,Jean Perrin brand Morbier de Scey and Raclette de Scey (cheeses) recalled due to possible contamination with pathogenic E. coli ,https://recalls-rappels.canada.ca/en/alert-recall/jean-perrin-brand-morbier-scey-and-raclette-scey-cheeses-recalled-due-possible,CFIA,Morbier de Scey and Raclette de Scey (cheeses),E. Coli - other pathogenic,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the recalled products are advised to contact their retailerFood contaminated with pathogenic&nbsp;E. coli&nbsp;may not look or smell spoiled but can still make you sick. Symptoms can include nausea, vomiting, mild to severe abdominal cramps and watery to bloody diarrhea. In severe cases of illness, some people may have seizures or strokes, need blood transfusions and kidney dialysis or live with permanent kidney damage. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Dairy,Class 1,2025-02-22,0,E. Coli,,other pathogenic
76980,Palm Bites brand Date Squares recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/palm-bites-brand-date-squares-recalled-due-salmonella,CFIA,"Original Date Square, Chocolate Date Square",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners",Class 2,2025-02-19,0,Salmonella,,
76886,Jean Perrin brand Morbier (cheese) recalled due to pathogenic E.coli,https://recalls-rappels.canada.ca/en/alert-recall/jean-perrin-brand-morbier-cheese-recalled-due-pathogenic-ecoli,CFIA,Morbier (cheese),E. Coli - other pathogenic,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the recalled products are advised to contact their retailerFood contaminated with pathogenic&nbsp;E. coli&nbsp;may not look or smell spoiled but can still make you sick. Symptoms can include nausea, vomiting, mild to severe abdominal cramps and watery to bloody diarrhea. In severe cases of illness, some people may have seizures or strokes, need blood transfusions and kidney dialysis or live with permanent kidney damage. In severe cases of illness, people may die.Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Dairy,Class 1,2025-01-31,0,E. Coli,,other pathogenic
76873,D. Effe T. brand Lemon Delight and Tartlet with Forest Fruits recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/effe-t-brand-lemon-delight-and-tartlet-forest-fruits-recalled-due-salmonella,CFIA,"Lemon Delight, Tartlet with Forest Fruits",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the recalled products are advised to contact their retailerFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,Class 1,2025-01-29,0,Salmonella,,
76868,Al-Watan brand Tahini recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/al-watan-brand-tahini-recalled-due-salmonella,CFIA,Tahini,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Nuts, grains, and seeds",Class 2,2025-01-27,0,Salmonella,,
75903,Certain brands of shell eggs recalled due to Salmonella,https://recalls-rappels.canada.ca/en/alert-recall/certain-brands-shell-eggs-recalled-due-salmonella,CFIA,Eggs,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the recalled products are advised to contact their retailerFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Eggs,Class 2,2025-01-20,0,Salmonella,,
76841,Sweet Cream brand Mini Patisserie recalled due to Salmonella ,https://recalls-rappels.canada.ca/en/alert-recall/sweet-cream-brand-mini-patisserie-recalled-due-salmonella,CFIA,Mini Patisserie,Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedConsumers who are unsure if they have purchased the recalled products are advised to contact their retailerFood contaminated with&nbsp;Salmonella&nbsp;may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,Class 1,2025-01-18,0,Salmonella,,
76767,Certain Fromagerie des Grondines cheeses recalled due to possible presence of generic E. coli and Staphylococcus aureus,https://recalls-rappels.canada.ca/en/alert-recall/certain-fromagerie-grondines-cheeses-recalled-due-possible-presence-generic-e-coli-and,CFIA,Cheese,E. Coli - non-pathogenic - Staphylococcus aureus,,Dairy,Class 3,2024-12-24,0,E. Coli,Staphylococcus aureus,non-pathogenic
